Date	WB1	WB2	WB3	WB4	WB5	PB	PP	Month	Day	Year
10/3/15	33	6	46	44	26	4	2	10	3	2015
9/30/15	40	59	21	39	55	17	3	9	30	2015
9/26/15	23	57	42	31	50	5	3	9	26	2015
9/23/15	8	29	51	58	41	5	2	9	23	2015
9/19/15	12	43	17	26	48	24	2	9	19	2015
9/16/15	7	5	39	24	31	7	3	9	16	2015
9/12/15	35	3	16	2	13	27	3	9	12	2015
9/9/15	50	44	45	51	47	8	2	9	9	2015
9/5/15	29	10	18	16	45	19	2	9	5	2015
9/2/15	17	46	22	30	56	16	3	9	2	2015
8/29/15	25	18	29	21	28	16	2	8	29	2015
8/26/15	22	56	2	45	32	12	5	8	26	2015
8/22/15	12	14	21	4	55	7	4	8	22	2015
8/19/15	6	43	48	50	8	7	2	8	19	2015
8/15/15	3	17	13	52	42	24	4	8	15	2015
8/12/15	29	38	8	13	52	28	2	8	12	2015
8/8/15	34	48	54	52	9	15	4	8	8	2015
8/5/15	42	14	9	16	11	19	2	8	5	2015
8/1/15	13	7	49	24	57	15	3	8	1	2015
7/29/15	4	52	22	27	28	35	3	7	29	2015
7/25/15	27	44	41	29	34	2	3	7	25	2015
7/22/15	31	12	57	44	43	11	2	7	22	2015
7/18/15	39	6	37	45	55	33	3	7	18	2015
7/15/15	45	34	13	50	16	11	2	7	15	2015
7/11/15	46	39	52	11	54	3	2	7	11	2015
7/8/15	30	27	25	15	4	18	3	7	8	2015
7/4/15	24	18	6	3	14	21	3	7	4	2015
7/1/15	24	41	31	26	7	25	2	7	1	2015
6/27/15	35	18	46	49	28	27	5	6	27	2015
6/24/15	5	10	3	22	32	7	4	6	24	2015
6/20/15	20	16	10	57	9	15	2	6	20	2015
6/17/15	22	20	21	54	41	7	3	6	17	2015
6/13/15	41	29	52	54	48	29	2	6	13	2015
6/10/15	49	32	31	53	48	25	2	6	10	2015
6/6/15	18	43	13	8	27	15	4	6	6	2015
6/3/15	6	40	37	13	8	11	2	6	3	2015
5/30/15	57	25	8	56	9	22	2	5	30	2015
5/27/15	8	15	59	34	53	23	2	5	27	2015
5/23/15	31	9	43	17	15	16	4	5	23	2015
5/20/15	12	1	44	28	35	25	3	5	20	2015
5/16/15	48	24	38	52	29	32	2	5	16	2015
5/13/15	31	29	1	47	25	7	3	5	13	2015
5/9/15	58	4	17	35	15	17	3	5	9	2015
5/6/15	24	41	39	23	27	30	5	5	6	2015
5/2/15	2	31	6	11	30	33	3	5	2	2015
4/29/15	26	1	38	34	51	6	3	4	29	2015
4/25/15	45	21	35	33	38	12	2	4	25	2015
4/22/15	25	10	14	39	53	18	2	4	22	2015
4/18/15	31	22	13	23	29	17	3	4	18	2015
4/15/15	1	21	29	16	40	30	3	4	15	2015
4/11/15	58	1	32	42	12	12	2	4	11	2015
4/8/15	1	19	45	58	46	29	2	4	8	2015
4/4/15	41	33	39	54	40	28	3	4	4	2015
4/1/15	44	39	30	33	2	1	3	4	1	2015
3/28/15	38	2	12	4	6	17	3	3	28	2015
3/25/15	54	23	19	7	50	14	2	3	25	2015
3/21/15	30	38	16	11	42	7	4	3	21	2015
3/18/15	30	47	33	25	14	8	2	3	18	2015
3/14/15	46	47	8	14	39	18	2	3	14	2015
3/11/15	24	44	31	11	40	27	2	3	11	2015
3/7/15	50	42	36	38	34	33	4	3	7	2015
3/4/15	8	35	15	12	50	32	2	3	4	2015
2/28/15	25	28	11	17	46	12	2	2	28	2015
2/25/15	39	17	21	32	19	8	3	2	25	2015
2/21/15	18	51	14	34	10	26	2	2	21	2015
2/18/15	29	1	49	9	32	22	2	2	18	2015
2/14/15	44	45	1	24	51	28	2	2	14	2015
2/11/15	25	11	54	13	39	19	3	2	11	2015
2/7/15	34	58	5	21	10	33	5	2	7	2015
2/4/15	51	52	36	24	56	22	2	2	4	2015
1/31/15	16	5	50	11	26	34	2	1	31	2015
1/28/15	49	24	12	36	35	1	5	1	28	2015
1/24/15	19	16	20	33	29	10	2	1	24	2015
1/21/15	57	12	28	15	11	23	4	1	21	2015
1/17/15	15	27	23	36	16	9	2	1	17	2015
1/14/15	10	4	53	2	41	22	5	1	14	2015
1/10/15	19	9	29	2	28	19	5	1	10	2015
1/7/15	47	49	59	15	14	10	2	1	7	2015
1/3/15	4	43	46	55	18	25	3	1	3	2015
12/31/14	40	27	17	53	37	35	2	12	31	2014
12/27/14	36	14	10	11	7	15	2	12	27	2014
12/24/14	46	11	12	47	50	22	4	12	24	2014
12/20/14	19	15	56	31	14	5	5	12	20	2014
12/17/14	47	31	48	38	22	15	3	12	17	2014
12/13/14	5	13	43	55	28	33	3	12	13	2014
